brand_name,generic_name,num_mfr,spend_2019,claims_2019,benes_2019,unit_cost_2019,spend_2020,claims_2020,benes_2020,unit_cost_2020,spend_2021,claims_2021,benes_2021,unit_cost_2021,spend_2022,claims_2022,benes_2022,unit_cost_2022,spend_2023,claims_2023,benes_2023,unit_cost_2023,growth_rate
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,139201.68,5392.0,1878.0,0.2167879244,118923.24,4457.0,1595.0,0.217701046,102280.76,3708.0,1313.0,0.2230012539,70039.61,2501.0,1147.0,0.225873987,44355.04,1613,699.0,0.2271618646,0.0117543595
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,343031.42,14581.0,5319.0,0.1873888035,210217.15,8408.0,3905.0,0.200851195,131927.33,4564.0,1766.0,0.2328115409,114601.54,3846.0,1474.0,0.2357078344,97951.18,3269,1267.0,0.2409322287,0.0648484791
Abacavir,Abacavir Sulfate,5,10110328.45,42629.0,6085.0,3.4827247521,9196378.7,37102.0,5068.0,3.4912038683,7027816.23,30488.0,4254.0,3.1858372173,6943055.75,24294.0,3452.0,3.8710647827,5287295.41,19632,2809.0,3.594356551,0.0079186955
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,4,13057135.83,34814.0,6423.0,11.242099124,9173796.65,23603.0,4752.0,11.162573921,9037539.9,28345.0,4032.0,8.4120195523,11949195.88,24962.0,3427.0,12.035735193,9999234.5,20201,2892.0,12.057845489,0.0176667287
Abilify,Aripiprazole,1,26854630.75,20939.0,3670.0,33.402208187,24481910.61,17689.0,2532.0,34.436527492,20484851.18,15261.0,2174.0,32.656164441,13141218.3,13586.0,1920.0,23.109644371,11882943.19,12115,1736.0,23.319755196,-0.085913695
Abilify Asimtufii,Aripiprazole,1,,,,,,,,,,,,,,,,,13218817.72,2410,1231.0,1783.0262923,
Abilify Maintena,Aripiprazole,1,422038582.34,189140.0,25421.0,2222.0696373,460313112.01,203218.0,25646.0,2253.5948883,499429110.88,208784.0,26393.0,2368.5084279,563682902.82,219843.0,27676.0,2553.3425156,636857890.94,232162,29378.0,2732.2746358,0.0530322483
Abilify Mycite,Aripiprazole,1,40552.86,24.0,,56.323416667,92372.21,47.0,15.0,56.908812057,56308.8,31.0,,56.778172043,75603.15,44.0,,57.275113636,75397.26,44,,57.119136364,0.0035133632
Abiraterone Acetate,Abiraterone Acetate,19,281502970.15,55574.0,17787.0,43.384441996,402663122.35,125763.0,23638.0,28.125781745,597573022.12,198219.0,30513.0,33.704066173,701598008.68,229999.0,35733.0,34.980840236,877469516.77,315666,45661.0,33.614327353,-0.061795304
Abraxane,Paclitaxel Protein-Bound,1,8803136.55,1190.0,333.0,1393.342284,9792937.31,1286.0,319.0,1479.2956662,9534884.71,1200.0,307.0,1567.9797254,6230057.81,810.0,220.0,1664.0111672,7462297.97,932,249.0,1675.7911453,0.0472262471
Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",1,,,,,,,,,,,,,,,,,698160177.7,2133980,2131906.0,327.30454988,
Absorica,Isotretinoin,1,256597.51,150.0,47.0,37.435019327,235353.71,126.0,52.0,37.944869135,163699.34,88.0,35.0,39.690154659,93008.56,51.0,24.0,41.151284582,76072.07,42,22.0,38.821409417,0.0091327694
Absorica Ld,"Isotretinoin, Micronized",1,,,,,25585.7,15.0,,37.42603165,81264.22,31.0,11.0,38.278067742,24902.87,15.0,,39.486837037,62964.21,31,14.0,45.669179159,0.0686032116
Acamprosate Calcium,Acamprosate Calcium,6,6062532.25,36643.0,11649.0,1.0040177266,6443057.94,39837.0,11880.0,0.9707188196,7016294.1,43153.0,13110.0,0.9711163154,7408915.48,44945.0,13739.0,0.9769674869,8093355.04,50232,15765.0,0.945327342,-0.014945613
Acanya,Clindamycin Phos/Benzoyl Perox,1,60935.72,107.0,56.0,10.597516522,33711.89,60.0,15.0,10.702187302,15964.61,29.0,,11.010075862,9928.83,18.0,,11.032033333,14029.67,26,,11.10821061,0.0118357057
Acarbose,Acarbose,5,8782064.06,173977.0,44062.0,0.3438656995,10722866.7,185085.0,43961.0,0.3749768894,10728639.22,180238.0,44200.0,0.3708114546,10098039.82,174307.0,43168.0,0.3569647831,9781113.16,169742,42919.0,0.3503993305,0.0047166575
Accolate,Zafirlukast,1,267173.42,731.0,141.0,3.7665431835,241732.21,635.0,121.0,3.7231384478,217404.57,521.0,103.0,3.7946403214,149766.1,358.0,91.0,3.7238647116,8114.96,21,13.0,3.6894436886,-0.005157148
Accutane,Isotretinoin,1,,,,,,,,,21588.69,127.0,59.0,3.5614410069,52272.27,309.0,121.0,3.6123914017,83176.6,424,192.0,4.2666876702,0.0945422971
Acebutolol HCl,Acebutolol HCl,3,4386157.9,91112.0,21226.0,0.4684252599,5556127.04,90017.0,20614.0,0.5719215227,5108653.31,86113.0,20157.0,0.5337176595,5166792.77,80943.0,19222.0,0.5698355461,5641077.2,76288,18164.0,0.6567985981,0.0881730797
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,581219.08,2783.0,1205.0,2.627263884,562256.15,2547.0,957.0,2.7624407967,554132.58,2524.0,797.0,2.817890749,327966.86,1581.0,416.0,2.7865591014,219642.98,1064,235.0,2.7758635594,0.0138497653
Acetaminophen,Acetaminophen,6,,,,,,,,,35876.64,120.0,82.0,0.2951489732,59927.65,138.0,75.0,0.252939109,48942.97,350,156.0,0.1602797227,-0.263082868
Acetaminophen-Codeine,Acetaminophen With Codeine,10,33342231.7,3063152.0,1417793.0,0.2154361299,36809437.6,2866868.0,1260147.0,0.2465406138,40587461.0,2753671.0,1210143.0,0.2858906287,38687556.58,2603690.0,1146260.0,0.2907868317,31133907.32,2525038,1131972.0,0.2464384255,0.0341831837
Acetazolamide,Acetazolamide,11,18944797.84,187883.0,88880.0,1.5457630126,17771426.4,159595.0,66492.0,1.5127315181,14869958.53,186468.0,76184.0,1.0790370654,15489559.99,212386.0,86171.0,1.0003311581,14839910.41,223297,90681.0,0.9128523131,-0.123373889
Acetazolamide ER,Acetazolamide,7,8965308.25,83564.0,34378.0,1.7910105324,8532895.66,78686.0,28814.0,1.6191603119,7358500.8,81962.0,32774.0,1.357154745,7706860.68,79286.0,32336.0,1.3842675541,6352444.08,81763,33680.0,1.0930203923,-0.116141931
Acetazolamide Sodium,Acetazolamide Sodium,1,,,,,,,,,,,,,,,,,8855.78,19,,41.382149533,
Acetic Acid*,Acetic Acid,6,1054956.19,50438.0,35588.0,1.1029535388,1098114.29,50852.0,34058.0,1.1277807801,1217831.74,56902.0,36607.0,1.1066917437,1313514.8,63140.0,38728.0,1.0023106231,1593486.51,74733,43136.0,0.9307912383,-0.041540499
Acetylcysteine*,Acetylcysteine,9,1981662.68,28050.0,7361.0,0.8300629529,1746725.77,20886.0,5149.0,0.8781550513,1595936.67,16659.0,4039.0,0.9431729167,1823301.43,17333.0,4323.0,1.0623224404,1834431.33,18326,4830.0,1.0175325829,0.0522267139
Aciphex,Rabeprazole Sodium,2,19678260.33,15888.0,3324.0,17.063811402,18095334.51,13926.0,2940.0,16.989249426,16176125.3,11451.0,2504.0,17.840855529,15875562.32,9439.0,2140.0,20.268804329,16133400.63,7726,1820.0,24.077408339,0.0898918975
Acitretin,Acitretin,5,22929872.03,43982.0,9054.0,14.780263274,22996980.97,42864.0,9153.0,14.079717111,21290553.53,41514.0,9238.0,12.818927126,20927874.71,40517.0,9068.0,12.705364065,20850061.95,41308,9207.0,12.366738435,-0.043591887
Actemra Actpen,Tocilizumab,1,17195137.67,4465.0,1177.0,1156.9634357,56276920.52,14203.0,2740.0,1195.6641105,93002648.89,24049.0,4442.0,1241.1457302,126483516.64,32706.0,5485.0,1245.3908786,184648415.67,44486,6927.0,1330.0928852,0.0354773036
Actemra*,Tocilizumab,1,132676233.62,35738.0,5446.0,1017.941604,127856836.18,32917.0,4668.0,1050.2799825,123904981.19,32334.0,5123.0,1095.3506436,127758478.59,33653.0,4885.0,1069.3405726,135711700.12,33939,4570.0,1074.3452266,0.0135735027
