specialty,n_prescribers,mean_brand_share,median_brand_share,std_brand_share,total_clms,brand_clms,total_cost,brand_cost,weighted_brand_share
Pulmonary Disease,8855,0.6559773468557294,0.6885766092475069,0.1899684082830691,12995451.0,7929539.0,7904055310.05,7492714534.91,0.6101780538436103
Endocrinology,6312,0.5387438248682442,0.5649425773797863,0.164794485299857,16742822.0,9213923.0,8727118279.39,8504382970.12,0.550320788215989
Infectious Disease,5121,0.47891430503575655,0.46621621621621623,0.23715003001615084,3179961.0,1449991.0,3283304802.7400002,3111524430.65,0.4559776047567879
Ophthalmology,17670,0.327651051571128,0.3044647636118565,0.19481151990776963,25751250.0,8610313.0,3654706292.06,2912617260.91,0.3343648560749478
Hematology-Oncology,8263,0.31334805018250056,0.29666119321291734,0.17418666159444485,6466114.0,2024471.0,13911929281.29,12479241582.42,0.3130892836099085
Gastroenterology,13795,0.3346508905924118,0.30612244897959184,0.20165597920939193,10876341.0,3344310.0,4208635844.95,3818090065.14,0.3074848425587245
Urology,9820,0.28259978554016535,0.2759970785618807,0.14920214313916919,13073084.0,3829906.0,2772114279.64,2423404173.36,0.29296117121254633
Neurology,12874,0.2818032229724624,0.2565920768137446,0.1802904001816588,19168562.0,5446740.0,7836742627.36,6984621734.56,0.2841496404372952
Rheumatology,5069,0.2906847617639035,0.2808988764044944,0.109912150269305,10496680.0,2940099.0,7790556243.58,7509752354.9800005,0.2800979928891802
Medical Oncology,3202,0.28115628095564527,0.26489266044734183,0.1903620030673983,1992853.0,557315.0,4148584139.92,3723291391.52,0.27965685376693616
Interventional Cardiology,4414,0.2882665806001969,0.2696730000453167,0.12664288762088458,13374570.0,3640071.0,2277691013.51,2089756201.94,0.27216359105376847
Cardiology,18474,0.25608341977955384,0.24959221764382636,0.09821501308751542,61342329.0,16122362.0,11957023414.45,10993162207.61,0.2628260495293552
Physician Assistant,97825,0.23935924153998844,0.1986842105263158,0.21096620970340035,84143050.0,19231474.0,11852526184.19,10350679063.35,0.22855689210219976
Nurse Practitioner,195486,0.23804088709845816,0.1932196336186367,0.20276615576511176,235026589.0,52383689.0,32937181058.28,28697377742.48,0.2228840967436242
Internal Medicine,95771,0.21892344713135556,0.1888162672476398,0.1739760216574315,324798596.0,68765809.0,33963511614.48,28835644485.9,0.21171830742765896
Family Practice,100341,0.193798292434214,0.1838304552590267,0.12625267876068214,356781139.0,73721990.0,29492225304.0,24562468066.26,0.20663084995644906
General Practice,6700,0.19041839054270074,0.16840503675824794,0.16036619437376476,24911288.0,4862818.0,1832877842.14,1503222089.53,0.1952054024665445
Nephrology,8734,0.17397466458099173,0.15555555555555556,0.12150534040169428,11639157.0,2146810.0,2008859888.45,1619926627.2,0.18444720695837336
Psychiatry,19333,0.18305536559254074,0.17323709050527486,0.1371816616068379,30915203.0,5625850.0,3575899610.38,2833199022.69,0.18197680927406493
Dermatology,12802,0.10193130333537241,0.08125288550323176,0.10781054282687456,8769145.0,966454.0,2711541354.81,2410230411.14,0.11021074460508978
