state,n_prescribers,total_clms,brand_clms,total_cost,brand_cost,weighted_brand_share,cost_per_clm,age65_pct,diabetes_pct,htn_pct,obesity_pct,median_hh_inc,uninsured_pct,college_pct
AK,1991,1390884.0,335824.0,254135466.81,223660084.59,0.24144644700780224,182.71506956007835,13.1,8.9,30.2,33.6,86631,9.5,31.6
AL,13621,27319749.0,6849894.0,4118561279.06,3604282090.05,0.2507304880436493,150.75399408171722,17.7,14.2,41.6,39.0,56929,11.0,27.0
AR,9224,17028162.0,4021352.0,2005990653.99,1739583480.15,0.23615889959233416,117.80429702219183,18.0,14.0,41.6,38.7,56335,9.5,25.3
AZ,21524,24117658.0,5387479.0,3696132983.34,3257071665.95,0.22338317427007215,153.25422490608335,18.6,11.5,33.1,32.7,72581,11.0,31.5
CA,98274,124380992.0,29799496.0,20874479475.98,18006820565.24,0.23958239535507161,167.8269254837588,15.2,11.0,30.6,28.1,91905,7.4,36.7
CO,16537,15554026.0,3487037.0,2447643085.0,2133575695.96,0.22418870844114572,157.36395740884063,15.5,7.9,28.6,25.1,87598,8.0,44.6
CT,13723,15834416.0,3794778.0,3050162426.45,2706286115.68,0.23965380219895702,192.62866571460543,18.7,10.4,33.3,30.6,90213,5.6,41.4
DC,2796,1639746.0,412598.0,453442719.52,410275644.11,0.2516231172388894,276.53229190374606,13.2,9.4,31.4,24.7,96265,3.7,60.7
DE,3189,4144065.0,973281.0,695874044.18,612442108.1,0.23486142229911935,167.92063931912264,20.2,12.1,36.4,35.1,79325,6.7,33.0
FL,68705,108048566.0,24144365.0,15583180370.48,13761708277.93,0.22345844923106153,144.2238518045672,21.6,11.6,35.7,30.4,67917,11.2,32.8
GA,27171,44291042.0,10564094.0,6766913340.42,6059228596.21,0.23851536389683495,152.7828887028668,15.1,12.2,36.7,35.5,71355,12.0,33.1
HI,3483,3643306.0,875107.0,705893845.67,616002393.68,0.24019585508326777,193.75090801321656,19.6,9.7,32.5,25.9,94814,3.9,35.2
