Prscrbr_State_Abrvtn,n_prescribers,total_cost,total_clms
AK,19,1922679.74,15370
AL,113,36566385.63,179838
AR,79,19849825.99,133056
AZ,174,31496840.28,157165
CA,789,114456765.47,780065
CO,159,16037909.77,95542
CT,123,20581718.61,127314
DC,32,1985436.8,10473
DE,26,4158782.26,35099
FL,563,117996791.99,817141
GA,224,37947353.2,278946
GU,1,29244.46,471
HI,37,5196967.42,27220
IA,91,27631033.8,181147
ID,57,5432726.44,52845
IL,314,51664597.09,297992
IN,136,29921510.26,181799
KS,78,11750380.36,158342
KY,144,31704294.84,239202
LA,141,32087609.96,243815
MA,228,41413852.94,256919
MD,143,13755268.8,107009
ME,39,2196616.3000000003,19576
MI,279,122879826.46,587644
MN,164,18234417.34,144196
MO,169,19206438.54,160927
MS,70,13314913.82,132000
MT,29,2007956.99,24167
NC,249,42741685.09,254857
ND,29,1642329.94,25128
NE,52,9966968.92,39788
NH,47,9727820.18,66502
NJ,208,34055866.94,190581
NM,56,9798279.83,84380
NV,54,9786888.03,46872
NY,585,126686462.68,652795
OH,354,61594054.78,451342
OK,100,16371018.09,111789
OR,144,19106911.1,147379
PA,408,87902188.44,563529
PR,67,25472189.74,138882
RI,45,16906571.36,89737
SC,123,34152972.36,143997
SD,27,3895648.42,35451
TN,192,53966561.339999996,267055
TX,611,100076658.33,740591
UT,67,5626249.58,55114
VA,207,28821920.43,197705
VT,16,1109563.17,14778
WA,200,20409229.59,154023
WI,164,24569856.68,181621
WV,49,11521624.78,83157
WY,15,971711.43,12577
